Customer Category,Item Category,SKU A,SKU A Desc,SKU B,SKU B Desc,Cross-Price Elasticity,Price Elasticity SKU A,Price Elasticity SKU B,Product Pair Type,SKU A Latest Price per qty,SKU A Latest Qty,SKU A Latest Transaction Date,SKU B Latest Price per qty,SKU B Latest Qty,SKU B Latest Transaction Date
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1031.0,SP02 CHIX BREAST,-0.8507863214054083,-2.613706844307453,-2.7660363542100925,complements - moderate,7.65,636.0,2024-01-31,7.65,180.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1032.0,SP03 CHICKEN FILLET,-1.278461935697889,-2.613706844307453,-1.8320381296037658,complements - moderate,7.65,636.0,2024-01-31,7.65,492.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1033.0,SP04 CHICKEN DRUMSTICK,-1.5257191164123811,-2.613706844307453,-3.0100573169794695,complements - close,7.65,636.0,2024-01-31,6.6,420.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1034.0,SP05 CHIX MIDDLE WING,-0.6211216753323905,-2.613706844307453,-2.5248220178457346,complements - moderate,7.65,636.0,2024-01-31,6.6,180.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1035.0,SP06 CHICKEN WINGSTICK,-1.6926113723356562,-2.613706844307453,-4.554377366768689,complements - close,7.65,636.0,2024-01-31,6.6,144.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1036.0,SP07 CHIX BONE IN THIGH,-1.703513441973985,-2.613706844307453,-3.3527261598480576,complements - close,7.65,636.0,2024-01-31,8.4,264.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1037.0,SP08 CHIX BONLESS LEG,-2.2291326997111254,-2.613706844307453,-3.3101447730711593,complements - close,7.65,636.0,2024-01-31,8.4,336.0,2024-01-31
SUPERMARKET,Raw,1030.0,SP01 SKINLESS CHIX BREAST,1152.0,SPICY CHICKEN CUTLET,2.2699876099430996,-2.613706844307453,0.7204441720768789,substitutes - close,7.65,636.0,2024-01-31,17.25,6.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1032.0,SP03 CHICKEN FILLET,-2.744247545131932,-2.7660363542100925,-1.8320381296037658,complements - close,7.65,180.0,2024-01-31,7.65,492.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1033.0,SP04 CHICKEN DRUMSTICK,-3.1571081741812232,-2.7660363542100925,-3.0100573169794695,complements - close,7.65,180.0,2024-01-31,6.6,420.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1034.0,SP05 CHIX MIDDLE WING,-1.2736759186587867,-2.7660363542100925,-2.5248220178457346,complements - moderate,7.65,180.0,2024-01-31,6.6,180.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1035.0,SP06 CHICKEN WINGSTICK,-3.1668457199438658,-2.7660363542100925,-4.554377366768689,complements - close,7.65,180.0,2024-01-31,6.6,144.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1036.0,SP07 CHIX BONE IN THIGH,-4.212634132098999,-2.7660363542100925,-3.3527261598480576,complements - close,7.65,180.0,2024-01-31,8.4,264.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1037.0,SP08 CHIX BONLESS LEG,-4.16234669766548,-2.7660363542100925,-3.3101447730711593,complements - close,7.65,180.0,2024-01-31,8.4,336.0,2024-01-31
SUPERMARKET,Raw,1031.0,SP02 CHIX BREAST,1152.0,SPICY CHICKEN CUTLET,1.7319792074595164,-2.7660363542100925,0.7204441720768789,substitutes - close,7.65,180.0,2024-01-31,17.25,6.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1033.0,SP04 CHICKEN DRUMSTICK,-1.513412059084971,-1.8320381296037658,-3.0100573169794695,complements - close,7.65,492.0,2024-01-31,6.6,420.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1034.0,SP05 CHIX MIDDLE WING,-0.2631247285583733,-1.8320381296037658,-2.5248220178457346,complements - weak,7.65,492.0,2024-01-31,6.6,180.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1035.0,SP06 CHICKEN WINGSTICK,-1.370881641621407,-1.8320381296037658,-4.554377366768689,complements - moderate,7.65,492.0,2024-01-31,6.6,144.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1036.0,SP07 CHIX BONE IN THIGH,-1.651352365290623,-1.8320381296037658,-3.3527261598480576,complements - close,7.65,492.0,2024-01-31,8.4,264.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1037.0,SP08 CHIX BONLESS LEG,-1.8484022710216506,-1.8320381296037658,-3.3101447730711593,complements - close,7.65,492.0,2024-01-31,8.4,336.0,2024-01-31
SUPERMARKET,Raw,1032.0,SP03 CHICKEN FILLET,1152.0,SPICY CHICKEN CUTLET,2.1359442139980116,-1.8320381296037658,0.7204441720768789,substitutes - close,7.65,492.0,2024-01-31,17.25,6.0,2024-01-31
SUPERMARKET,Raw,1033.0,SP04 CHICKEN DRUMSTICK,1034.0,SP05 CHIX MIDDLE WING,-1.5889531784542184,-3.0100573169794695,-2.5248220178457346,complements - close,6.6,420.0,2024-01-31,6.6,180.0,2024-01-31
SUPERMARKET,Raw,1033.0,SP04 CHICKEN DRUMSTICK,1035.0,SP06 CHICKEN WINGSTICK,-2.2198557659395766,-3.0100573169794695,-4.554377366768689,complements - close,6.6,420.0,2024-01-31,6.6,144.0,2024-01-31
SUPERMARKET,Raw,1033.0,SP04 CHICKEN DRUMSTICK,1036.0,SP07 CHIX BONE IN THIGH,-2.575355349354857,-3.0100573169794695,-3.3527261598480576,complements - close,6.6,420.0,2024-01-31,8.4,264.0,2024-01-31
SUPERMARKET,Raw,1033.0,SP04 CHICKEN DRUMSTICK,1037.0,SP08 CHIX BONLESS LEG,-2.751619596707598,-3.0100573169794695,-3.3101447730711593,complements - close,6.6,420.0,2024-01-31,8.4,336.0,2024-01-31
SUPERMARKET,Raw,1033.0,SP04 CHICKEN DRUMSTICK,1152.0,SPICY CHICKEN CUTLET,2.0241067536111434,-3.0100573169794695,0.7204441720768789,substitutes - close,6.6,420.0,2024-01-31,17.25,6.0,2024-01-31
SUPERMARKET,Raw,1034.0,SP05 CHIX MIDDLE WING,1035.0,SP06 CHICKEN WINGSTICK,-2.930320396167477,-2.5248220178457346,-4.554377366768689,complements - close,6.6,180.0,2024-01-31,6.6,144.0,2024-01-31
SUPERMARKET,Raw,1034.0,SP05 CHIX MIDDLE WING,1036.0,SP07 CHIX BONE IN THIGH,-3.5018834606436995,-2.5248220178457346,-3.3527261598480576,complements - close,6.6,180.0,2024-01-31,8.4,264.0,2024-01-31
